Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SP500TR,1/24/2017,4338.22998,4370.120117,4335.970215,4361.560059,4361.560059,0
SP500TR,1/25/2017,4378.419922,4398.77002,4378.419922,4396.569824,4396.569824,0
SP500TR,1/26/2017,4397.149902,4401.569824,4388.490234,4393.430176,4393.430176,0
SP500TR,1/27/2017,4398.140137,4398.140137,4383.97998,4389.850098,4389.850098,0
SP500TR,1/30/2017,4373.450195,4373.450195,4339.189941,4363.669922,4363.669922,0
SP500TR,1/31/2017,4350.540039,4360.029785,4337.529785,4359.810059,4359.810059,0
SP500TR,2/1/2017,4373.649902,4380.410156,4348.529785,4362.100098,4362.100098,0
SP500TR,2/2/2017,4356.890137,4370.77002,4347.689941,4364.850098,4364.850098,0
SP500TR,2/3/2017,4379.959961,4398.580078,4378.720215,4396.950195,4396.950195,0
SP500TR,2/6/2017,4390.970215,4394.600098,4380.040039,4387.669922,4387.669922,0
SP500TR,2/7/2017,4394.209961,4400.959961,4383.299805,4388.870117,4388.870117,0
SP500TR,2/8/2017,4383.52002,4395.689941,4375.589844,4393.310059,4393.310059,0
SP500TR,2/9/2017,4398.009766,4425.5,4398.009766,4419.399902,4419.399902,0
SP500TR,2/10/2017,4428.089844,4441.399902,4425.890137,4435.419922,4435.419922,0
SP500TR,2/13/2017,4447.319824,4466.180176,4446.759766,4459.830078,4459.830078,0
SP500TR,2/14/2017,4457.02002,4478.97998,4449.490234,4478.97998,4478.97998,0
SP500TR,2/15/2017,4475.799805,4505.919922,4474.399902,4501.990234,4501.990234,0
SP500TR,2/16/2017,4503.189941,4506.370117,4482.609863,4498.560059,4498.560059,0
SP500TR,2/17/2017,4490.580078,4506.200195,4484.080078,4506.200195,4506.200195,0
SP500TR,2/21/2017,4513.390137,4535.990234,4513.390137,4533.459961,4533.459961,0
SP500TR,2/22/2017,4525.689941,4533.330078,4520.379883,4528.970215,4528.970215,0
SP500TR,2/23/2017,4538.470215,4539.919922,4514.680176,4531.390137,4531.390137,0
SP500TR,2/24/2017,4516.97998,4539.25,4511.649902,4539.25,4539.25,0
SP500TR,2/27/2017,4535.839844,4547.919922,4529.399902,4544.509766,4544.509766,0
SP500TR,2/28/2017,4537.609863,4540.870117,4523.990234,4532.930176,4532.930176,0
SP500TR,3/1/2017,4565.379883,4605.27002,4565.379883,4595.72998,4595.72998,0
SP500TR,3/2/2017,4593.790039,4593.790039,4565.899902,4569.169922,4569.169922,0
SP500TR,3/3/2017,4567.390137,4573.060059,4556.819824,4571.600098,4571.600098,0
SP500TR,3/6/2017,4556.569824,4563.410156,4542.680176,4556.720215,4556.720215,0
SP500TR,3/7/2017,4548.25,4556.560059,4538.220215,4543.75,4543.75,0
SP500TR,3/8/2017,4547.790039,4554.049805,4530.990234,4534.680176,4534.680176,0
SP500TR,3/9/2017,4535.709961,4546.439941,4518.600098,4538.359863,4538.359863,0
SP500TR,3/10/2017,4553.129883,4561.459961,4535.02002,4553.279785,4553.279785,0
SP500TR,3/13/2017,4552.77002,4558.029785,4546.939941,4556.439941,4556.439941,0
SP500TR,3/14/2017,4547.200195,4547.200195,4527.330078,4541.259766,4541.259766,0
SP500TR,3/15/2017,4550.790039,4588.5,4548.140137,4579.439941,4579.439941,0
SP500TR,3/16/2017,4584.310059,4584.959961,4564.169922,4572.160156,4572.160156,0
SP500TR,3/17/2017,4576.649902,4580.410156,4565.009766,4566.169922,4566.169922,0
SP500TR,3/20/2017,4566.279785,4568.720215,4549.839844,4557.120117,4557.120117,0
SP500TR,3/21/2017,4568.759766,4573.680176,4496.950195,4500.97998,4500.97998,0
SP500TR,3/22/2017,4499.180176,4516.060059,4486.609863,4509.649902,4509.649902,0
SP500TR,3/23/2017,4504.939941,4529.77002,4498.009766,4504.919922,4504.919922,0
SP500TR,3/24/2017,4513.47998,4524.509766,4485.430176,4501.109863,4501.109863,0
SP500TR,3/27/2017,4472.560059,4502.879883,4459.5,4496.529785,4496.529785,0
SP500TR,3/28/2017,4493.120117,4539.189941,4488.970215,4529.169922,4529.169922,0
SP500TR,3/29/2017,4526.189941,4539.27002,4519.319824,4535.009766,4535.009766,0
SP500TR,3/30/2017,4535.5,4552.959961,4530.370117,4548.459961,4548.459961,0
SP500TR,3/31/2017,4542.25,4552.850098,4538.02002,4538.209961,4538.209961,0
SP500TR,4/3/2017,4537.709961,4544.430176,4503.899902,4530.97998,4530.97998,0
SP500TR,4/4/2017,4523.879883,4534.910156,4516.240234,4534.25,4534.25,0
SP500TR,4/5/2017,4547.069824,4569.529785,4516.189941,4520.859863,4520.859863,0
SP500TR,4/6/2017,4523.819824,4543.740234,4514.540039,4530.930176,4530.930176,0
SP500TR,4/7/2017,4529.209961,4542.859863,4518.049805,4527.200195,4527.200195,0
SP500TR,4/10/2017,4530.560059,4548.209961,4519.680176,4530.569824,4530.569824,0
SP500TR,4/11/2017,4524.97998,4527.430176,4493.160156,4524.709961,4524.709961,0
SP500TR,4/12/2017,4521.649902,4522.669922,4500.660156,4507.759766,4507.759766,0
SP500TR,4/13/2017,4502.109863,4514.129883,4477.060059,4477.069824,4477.069824,0
SP500TR,4/17/2017,4484.140137,4515.899902,4483.990234,4515.649902,4515.649902,0
SP500TR,4/18/2017,4503.319824,4514.259766,4488,4502.660156,4502.660156,0
SP500TR,4/19/2017,4512.129883,4523.25,4489.620117,4495.560059,4495.560059,0
SP500TR,4/20/2017,4504.350098,4540.209961,4500.930176,4529.649902,4529.649902,0
SP500TR,4/21/2017,4527.52002,4530.27002,4507.970215,4515.899902,4515.899902,0
SP500TR,4/24/2017,4557.589844,4570.370117,4555.430176,4564.930176,4564.930176,0
SP500TR,4/25/2017,4579.080078,4600.180176,4578.620117,4592.740234,4592.740234,0
SP500TR,4/26/2017,4593.509766,4611.160156,4589.470215,4590.560059,4590.560059,0
SP500TR,4/27/2017,4595.359863,4599.899902,4581.879883,4593.569824,4593.569824,0
SP500TR,4/28/2017,4603.060059,4603.060059,4581.330078,4584.819824,4584.819824,0
SP500TR,5/1/2017,4593.109863,4604.589844,4586.129883,4592.779785,4592.779785,0
SP500TR,5/2/2017,4598.02002,4601.609863,4588.25,4598.240234,4598.240234,0
SP500TR,5/3/2017,4590.169922,4596.540039,4577.290039,4593.319824,4593.319824,0
SP500TR,5/4/2017,4596.759766,4599.810059,4578.660156,4596.240234,4596.240234,0
SP500TR,5/5/2017,4601.790039,4615.100098,4596.129883,4615.089844,4615.089844,0
SP500TR,5/8/2017,4616.819824,4619.52002,4605.290039,4615.72998,4615.72998,0
SP500TR,5/9/2017,4620.169922,4624.47998,4602.640137,4611.209961,4611.209961,0
SP500TR,5/10/2017,4612.740234,4618.310059,4605.040039,4618.189941,4618.189941,0
SP500TR,5/11/2017,4610.459961,4612.029785,4585.290039,4609.689941,4609.689941,0
SP500TR,5/12/2017,4605.939941,4605.939941,4595.819824,4602.959961,4602.959961,0
SP500TR,5/15/2017,4609.450195,4628.839844,4609.450195,4625.509766,4625.509766,0
SP500TR,5/16/2017,4630.709961,4632.930176,4614.359863,4623.259766,4623.259766,0
SP500TR,5/17/2017,4590.490234,4594.180176,4539.200195,4540.580078,4540.580078,0
SP500TR,5/18/2017,4536.149902,4576.580078,4532.450195,4557.410156,4557.410156,0
SP500TR,5/19/2017,4568.399902,4602.450195,4567.759766,4588.350098,4588.350098,0
SP500TR,5/22/2017,4599,4614.879883,4598.439941,4612.120117,4612.120117,0
SP500TR,5/23/2017,4618.040039,4625.370117,4612.009766,4620.700195,4620.700195,0
SP500TR,5/24/2017,4626.640137,4634.600098,4620.060059,4632.370117,4632.370117,0
SP500TR,5/25/2017,4642.950195,4660.459961,4640.089844,4653.589844,4653.589844,0
SP500TR,5/26/2017,4653.109863,4657.279785,4648.720215,4655.649902,4655.649902,0
SP500TR,5/30/2017,4648.370117,4655.259766,4644.140137,4650.759766,4650.759766,0
SP500TR,5/31/2017,4656.720215,4657.330078,4633.589844,4649.339844,4649.339844,0
SP500TR,6/1/2017,4657.330078,4685.109863,4653.310059,4685.109863,4685.109863,0
SP500TR,6/2/2017,4687.540039,4704.75,4680.680176,4702.560059,4702.560059,0
SP500TR,6/5/2017,4700.350098,4703.640137,4693.629883,4697,4697,0
SP500TR,6/6/2017,4688.959961,4697.160156,4681.720215,4683.959961,4683.959961,0
SP500TR,6/7/2017,4690.160156,4696.370117,4676.140137,4692.290039,4692.290039,0
SP500TR,6/8/2017,4694.600098,4704.189941,4682.390137,4693.669922,4693.669922,0
SP500TR,6/9/2017,4698.700195,4717.600098,4660.180176,4689.790039,4689.790039,0
